text,mail_length,sentiment,category
"Congratulations on your promotion to Front End Manager. I’ve seen the excellent work you’ve done at Tom’s Groceries over the past three years I’ve been employed, including the methods you’ve used to reduce staff absences and tardiness. I can wholeheartedly say that you’re bringing positive change to this company.",49,positive,Technical Problem
"If you're interested in chatting further, let's book a call. DM me or email me back here.",17,negative,Technical Problem
"My sister met with an accident a few hours back, and she has been hospitalized in an emergency. I am required to be present at the hospital, along with my parents in Bangalore. I anticipate having most of my immediate issue to take taken care of within a week and hope to join office back on Monday, i.e. (date of your joining). ",62,positive,Product Defect
Please let me know whether you require any additional information. Thank you very much for your consideration of my request.,20,positive,Billing Issue
I am confident that my current unfinished tasks will not be negatively affected by this absence.,16,positive,Billing Issue
"Once I return to the office on [date], I hope I will be able to concentrate on my work much more effectively.",22,positive,Product Defect
Congratulations on your new place! Can’t wait to see you make it your own.,14,positive,Product Defect
You are proof that good things come to those who are willing to sacrifice to reach a worthwhile goal. Words can’t express how proud I am!,26,positive,Product Defect
I appreciate your support in this matter and anticipate hearing a response from you.,14,positive,Product Defect
"I'm contacting you from (Company name). We're an (insert industry) start-up searching for investment. We're already turning a profit, but the new investment can take our growth to the next level.",31,positive,General Inquiry
"I request you to please grant me leave for five days, i.e., from [starting date] to [end-date], for a speedy recovery of my lower back. Also, let me know if any further clarifications are required for the case. I am attaching my medical certificate along with this email.",48,negative,Billing Issue
"I am writing this letter to formally notify you about my leaves from (start date) to (end-date). I will join office from Monday, i.e. on (date).",26,positive,Product Defect
Our company completed a similar project for a hotel in Atlanta eight months ago. Our design kept users on their website 150% longer and resulted in a 40% increase in sales over the course of six months.,37,positive,Technical Problem
Congratulations on your well-deserved promotion to Head Gardener! I’m so happy to see that your hard work and achievements have been recognized.,22,positive,Product Defect
"The cremation of my brother has been completed and I am still healing from his untimely demise. In the last letter, I had asked for a 7-day leave but then I wasn’t certain when I will be able to return.",40,positive,Billing Issue
"I have attached some information on our product range, including prices and delivery times.",14,positive,Product Defect
The talent of success is nothing more than doing what you can do well; and doing well whatever you do. It really warms my heart to see you succeeding like this. Congratulations!,32,positive,Billing Issue
I have no doubt that your skills and years of experience will prove to be a major asset to your new company. Please be sure to stay in touch. ,29,positive,Technical Problem
Please let me know whether you require any further information or have any questions.,14,negative,Product Defect
We hope you can feel all the pride and happiness surrounding you as you head off to medical school.,19,positive,General Inquiry
"I know our company's motto is “Zero incidents. Zero Losses”, therefore this conference will help me better understand the legislation, adopt and adapt the standards to the specific activity of our department. The last day of the conference will host a workshop held by four specialists from the Environment Ministry, allowing me to learn from the best.",57,positive,Technical Problem
Do you know that 50% of people don't know how to change a plug? We've surveyed hundreds of people and found out how little people know about DIY. But that's not all.,32,negative,Billing Issue
"Per the goal you expressed in the meeting, our objective will be to increase your clientele by 30% and increase your leads by 40% within the next year. This goal will be accomplished through the following steps:",37,positive,Technical Problem
"I would like to inform you that I will not be available in the [Morning/Afternoon]/[From hour to hour] of [Date]. I would like to notify you that it so appears that my father is traveling to see me, and I must receive him at the airport. There is no one else in town to pick him up. I ensure that my tasks for the day will be finished by then. I would be available by phone if there is any urgency. Thank you for accepting my request.",87,negative,General Inquiry
I am positive that my team will fill my place while I’m out of the office.,16,positive,Billing Issue
Please reach to me in case of any emergencies and queries regarding work at my email id ( email address) and my phone number ( contact number). You can also contact (colleague name) for any work-related discussions as she is aware of the ongoing project and tasks related to it.,50,positive,Product Defect
Please review the attached pich deck and contact me if you want to arrange an initial call. We're excited about the potential for our business and hope that you are too.,31,positive,General Inquiry
"Please treat this email as an application for leave. I would like to inform you that I require a day of absence on {date and month}. I need to visit the bank in my hometown for some personal work, and I need to travel there as soon as possible. Clubbing my leave with the weekend enables me to get this done easily and be back by the following Monday morning.",70,positive,Product Defect
"Email me back, and let's find a time to chat about the benefits of our software and explore together how to save money.",23,negative,General Inquiry
"Yes of course, I congratulate friends for their achievements no matter how small, and acknowledge their effort and hard-work. Saying kind words and doing an act of kindness simply by congratulating someone who just achieve something in life paves the way for harmonious relationship and healthy well-being.",47,positive,General Inquiry
I am enclosing the invitation card with this letter.,9,negative,Technical Problem
"I will be back two weeks later and I have finished all the projects that I was working on at present. I hope you are fine with this, and if required you can reach me any time through mobile.",39,positive,General Inquiry
"I have transferred the important duties to my associate [name of the person], and he/ she will look after the tasks until I get back to work. Also, during the entire period, I will be available on my phone or via email for any matter.",45,negative,Technical Problem
This is an important conference as I would learn about the new standards and procedures that we could implement in our daily activity.,23,positive,General Inquiry
Thanks for considering my leave application and helping me in a tough situation,13,positive,Technical Problem
"I am writing this email with reference to my remaining annual leave quota. I am planning to go on a trip to Europe with my family. Thus, I would like to avail my remaining 25 days of annual ",38,negative,Product Defect
"Of course, we should congratulate our colleagues for their achievements. It encourges them to work harder and become better. It also enhances self-confidence and self-esteem.",25,positive,Technical Problem
"With reference to the above subject, I want to bring to your kind attention that I am suffering from critical back pain and my doctor has suggested taking through rest for five days initially. The doctor also recommended going for MRI scan along with a week of physiotherapy sessions and other medications.",52,negative,Billing Issue
I've attached a sample of the post below. Contact me today if you're interested in publishing the post or want more information on why we're the tax experts that small businesses trust.,32,negative,Billing Issue
Feeling so much joy for you today. What an impressive achievement!,11,positive,General Inquiry
I'm just writing to congratuale you on the wonderful lesson you presented yesterday. It was not easy at all. It was really challenging.,23,positive,General Inquiry
"I have had a mild fever since last night and, therefore, it will be difficult for me to come to the office today.",23,negative,General Inquiry
"Since this will be our first baby, I am way too excited to see my child and desire to be with her during the delivery and a couple of weeks after, so I request you to grant me leave for 30 days, beginning from the [date].",46,negative,Product Defect
